name,model,columnar,dummy,input,output,extern,public,V1,V2,V3,V4,phi,initV,initn,offset,sa,si,dra,dri
R1,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
R2,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
R3,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
R4,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
R5,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
R6,Photoreceptor,1,0,1,0,1,0,0,0,0,0,0,-0.07,0,0,0.3664,0.8969,0.027,0.4092
L1,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
L2,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
L3,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
L4,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
L5,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
T1,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
C2,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
C3,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02,0,0,0,0
Am,MorrisLecar,350,0,0,0,0,0,-0.001,0.015,0,0.03,0.2,-0.05184,0.0306,0,0,0,0,0
a1,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
a2,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
a3,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
a4,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
a5,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
a6,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0,0,0,0,0
